99 2
0.00294975 0.00944232
0.0102995 0.0172735
0.020022 0.0236096
0.0313087 0.0289511
0.0438776 0.0336056
0.0576253 0.0377375
0.072512 0.0414415
0.0885247 0.0447708
0.10566 0.0477555
0.123917 0.0504112
0.14329 0.0527444
0.163769 0.0547568
0.185336 0.0564467
0.207963 0.0578117
0.231611 0.0588492
0.256229 0.0595587
0.281756 0.0599414
0.308119 0.0600019
0.33523 0.0597476
0.362995 0.0591896
0.391306 0.0583422
0.42005 0.0572233
0.449103 0.0558532
0.478339 0.0542548
0.507629 0.0524524
0.536842 0.0504719
0.56585 0.0483393
0.594526 0.0460809
0.622752 0.0437221
0.650415 0.0412876
0.677414 0.0388005
0.703656 0.0362825
0.72906 0.0337535
0.75356 0.0312316
0.777098 0.0287329
0.799632 0.0262719
0.821131 0.0238609
0.841575 0.0215106
0.860955 0.0192303
0.879272 0.0170273
0.896536 0.0149076
0.912766 0.0128758
0.927984 0.0109352
0.942222 0.00908797
0.955513 0.00733521
0.967895 0.00567708
0.979409 0.00411286
0.990096 0.00264118
1.0 0.00126
0.0 0.0
0.00294975 -0.00944232
0.0102995 -0.0172735
0.020022 -0.0236096
0.0313087 -0.0289511
0.0438776 -0.0336056
0.0576253 -0.0377375
0.072512 -0.0414415
0.0885247 -0.0447708
0.10566 -0.0477555
0.123917 -0.0504112
0.14329 -0.0527444
0.163769 -0.0547568
0.185336 -0.0564467
0.207963 -0.0578117
0.231611 -0.0588492
0.256229 -0.0595587
0.281756 -0.0599414
0.308119 -0.0600019
0.33523 -0.0597476
0.362995 -0.0591896
0.391306 -0.0583422
0.42005 -0.0572233
0.449103 -0.0558532
0.478339 -0.0542548
0.507629 -0.0524524
0.536842 -0.0504719
0.56585 -0.0483393
0.594526 -0.0460809
0.622752 -0.0437221
0.650415 -0.0412876
0.677414 -0.0388005
0.703656 -0.0362825
0.72906 -0.0337535
0.75356 -0.0312316
0.777098 -0.0287329
0.799632 -0.0262719
0.821131 -0.0238609
0.841575 -0.0215106
0.860955 -0.0192303
0.879272 -0.0170273
0.896536 -0.0149076
0.912766 -0.0128758
0.927984 -0.0109352
0.942222 -0.00908797
0.955513 -0.00733521
0.967895 -0.00567708
0.979409 -0.00411286
0.990096 -0.00264118
1.0 -0.00126
