99 2
0.42085 -2.2262
0.581 -2.2263
0.26147 -2.2125
0.10425 -2.1855
-0.049444 -2.1455
-0.19833 -2.0931
-0.34123 -2.029
-0.47711 -1.9543
-0.60508 -1.8699
-0.72442 -1.7771
-0.83461 -1.6769
-0.93534 -1.5708
-1.0265 -1.46
-1.1081 -1.3458
-1.1804 -1.2293
-1.2437 -1.1117
-1.2987 -0.99388
-1.3457 -0.87652
-1.3853 -0.76028
-1.4182 -0.64557
-1.4447 -0.5327
-1.4654 -0.42187
-1.4808 -0.31317
-1.4911 -0.20667
-1.4966 -0.10244
-1.4982 2.4815e-17
-1.4966 0.10244
-1.4911 0.20667
-1.4808 0.31317
-1.4654 0.42187
-1.4447 0.5327
-1.4182 0.64557
-1.3853 0.76028
-1.3457 0.87652
-1.2987 0.99388
-1.2437 1.1117
-1.1804 1.2293
-1.1081 1.3458
-1.0265 1.46
-0.93534 1.5708
-0.83461 1.6769
-0.72442 1.7771
-0.60508 1.8699
-0.47711 1.9543
-0.34123 2.029
-0.19833 2.0931
-0.049444 2.1455
0.10425 2.1855
0.26147 2.2125
0.42085 2.2262
0.581 2.2263
0.74047 2.2128
2.5268 -0.044835
2.5268 0.044835
2.5284 -0.14084
2.5203 -0.24351
2.5076 -0.34796
2.4898 -0.45435
2.4665 -0.56262
2.4373 -0.67266
2.4019 -0.7843
2.3598 -0.89731
2.3105 -1.0113
2.2536 -1.126
2.1886 -1.2406
2.115 -1.3543
2.0323 -1.4662
1.9405 -1.5752
1.8391 -1.68
1.7285 -1.7792
1.6087 -1.8714
1.4804 -1.9554
1.3442 -2.0299
1.201 -2.0938
1.0518 -2.146
0.89787 -2.1859
0.74047 -2.2128
0.89787 2.1859
1.0518 2.146
1.201 2.0938
1.3442 2.0299
1.4804 1.9554
1.6087 1.8714
1.7285 1.7792
1.8391 1.68
1.9405 1.5752
2.0323 1.4662
2.115 1.3543
2.1886 1.2406
2.2536 1.126
2.3105 1.0113
2.3598 0.89731
2.4019 0.7843
2.4373 0.67266
2.4665 0.56262
2.4898 0.45435
2.5076 0.34796
2.5203 0.24351
2.5284 0.14084
